name,lat,lng,website
Monkish Brewing Co.,33.846346,-118.310332,monkishbrewing.com
Cosmic Brewing,33.846319,-118.311416,cosmicbrewery.com
Smog City Brewing,33.847112,-118.313722,smogcitybrewing.com
The Dudes' Brewing Co.,33.841626,-118.311446,thedudesbrew.com
Strand Brewing Co.,33.841377,-118.321381,strandbrewing.com
Red Car Brewery,33.835719,-118.316058,redcarbrewery.com
Absolution Brewing Co.,33.843148,-118.337895,absolutionbrewingcompany.com
Scholb Premium Ales,33.843148,-118.339193,drinkscholb.com
King Harbor Brewing Co.,33.865906,-118.356137,kingharborbrewing.com
HopSaint Brewing Co.,33.857797,-118.367724,hopsaint.com
The Brewery at Abigaile,33.863213,-118.399664,abigailerestaurant.com
Phantom Carriage Brewery,33.861836,-118.276168,phantomcarriage.com
El Segundo Brewing Company,33.917722,-118.415675,elsegundobrewing.com
Los Angeles Ale Works,33.9148,-118.332192,laaleworks.com
State Brewing Company,33.911045,-118.297782,statebrewingco.com
Rob Rubens Distilling and Brewing,33.916535,-118.406043,rubensspirit.com
San Pedro Brewing Co.,33.738672,-118.284222,sanpedrobrewing.com
Brouwerij West,33.727233,-118.28022,brouwerijwest.com
Three Weavers Brewing Co.,33.961105,-118.374789,threeweavers.la
House Beer,33.996375,-118.477728,housebeer.us
Bavarian Breweries & Distilleries,34.0212,-118.38472,bavarianbrewerytech.com
Iron Triangle,34.036234,-118.235834,irontrianglebrewing.com
Indie Brewing Co.,34.035061,-118.222798,indiebrewco.com
Dry River Brewing,34.035825,-118.223517,dryriverbrewing.com
Angel City Brewing,34.046297,-118.237661,angelcitybrewery.com
Boomtown Brewery,34.050782,-118.233207,boomtownbrew.com
Mumford Brewing,34.046078,-118.241985,mumfordbrewing.com
Solarc Brewing,34.046398,-118.242322,solarcbrewing.com
Bonaventure Brewing Co.,34.052545,-118.255987,bonaventurebrewing.com
Golden Road Brewery,34.050885,-118.249419,goldenroad.la
Karl Strauss Brewing Co.,34.048024,-118.25626,karlstrauss.com
Wiretap Brewing Co.,34.068015,-118.221721, wiretapbrewing.com
Arts District Brewing Co.,34.044532,-118.235372,artsdistrictbrewing.com
